featureid	Intercept	Subject[T.FAT_008]	Subject[T.FAT_012]	Subject[T.FAT_015]	Subject[T.FAT_020]	Subject[T.R01]	Subject[T.R02]	Subject[T.V1]	Subject[T.V2]	Subject[T.V3]	Donor[T.DS04]	Donor[T.FAT_DON_11]	Donor[T.FAT_DON_19]	Donor[T.FAT_DON_8]	Donor[T.SPB_T43]	Dataset[T.SPB18]	Dataset[T.VRIEZE12]	group[T.settle]	Time
K00087	-1.04118216521649	0.181683986263138	1.03937470801748	0.22034143927709	0.752247621559998	-0.0143301998110059	0.177295481291953	0.254323630423831	0.0649363811737098	-0.0206416766481934	0.020140582584582	1.76147795041861	0.783602325165427	1.22802232376054	0.290405979713216	0.453298443479116	-2.03966346580806	-0.256763677342493	0.000708221236512596
K00088	0.805988336730914	0.0431922364996493	0.953276156267295	0.0185491991342674	-0.0721851687193903	1.41476986661241	-0.00647064534073749	0.406886606307315	0.370025616479496	0.418195791975922	1.39834349777623	1.22482633909049	1.15637215777651	0.30945025554612	-0.301627883354411	1.64279043070751	-0.00744214851680214	0.295058865801733	0.000596402922913963
K00096	0.235003973175006	0.065909593181473	-0.224875510850778	0.219597573310293	-0.246366093611816	-0.065682611319566	0.930322681990805	-0.539263636975003	-0.347011048006435	-0.312534682019287	-0.704653954244413	-0.429399129545073	0.530436007225669	0.130083666953591	-0.312515148559794	0.199305409116323	-0.16494515735927	0.520425935046118	0.000142334739015038
K00097	0.992692733932452	-0.232317776603836	-0.432693095126977	-0.35206085917338	0.40926938250055	-0.618738404366517	-0.804830277832803	0.050019173713016	-0.020493525671383	0.124221988455719	0.250433022045336	0.053061607683321	-0.368040056979501	0.427565084609535	-0.314545282760844	-0.756723588781779	-0.87185058195415	0.103492994563024	0.00157928351526015
K00099	-0.144741271804853	-0.0110826801492154	0.556191562494407	-0.0034005689321388	0.674555351281067	1.32764384999559	0.696502958861533	-0.0784585188910489	-0.0567017976516686	-0.036401859982544	0.633245402836047	1.06784916242423	0.309637157166159	0.486554371032265	0.918463459571615	0.975581759137685	0.562496153523298	0.379935879961889	0.000448464194581444
K00104	-0.495441173385663	-0.00891748182310459	0.392256497224937	-0.120233421295725	0.116411020302674	-1.38572814211562	-0.282100225361642	-0.262299091725064	-0.207943457769772	-0.0140049974756775	-1.06100924137906	0.255877617204805	-0.0224040468095181	-0.182510508385154	0.328304520210043	0.509287470502432	-0.401898594687609	0.498016019122045	0.00223052386407607
K00111	0.257498646903948	0.0176165986822665	1.65891921409048	0.160863633185781	0.344965626740357	-0.440985075089479	-0.694316590699014	-0.295245380310727	-0.1494549099678	-0.165083460076386	0.769745046161852	0.967408183420321	1.13056263133303	-0.100701643314811	-0.0344561428224892	0.450045698804433	-0.907733203957705	0.520477910296362	0.000711201468751366
K00123	-0.799153779815717	0.133822887019974	-0.210801304498544	0.342335577041067	-0.390098402953246	-1.20173974976256	-0.690200651558694	-0.147982270626736	-0.31110646169128	-0.37097644017511	-0.775263046956815	-0.25315016189752	-0.443416060960138	-0.0907529724507062	-0.0298172325289101	0.0211530863471581	-0.993582310269503	-1.31659249518688	-0.00145435448522813
K00128	0.406987572837786	0.171803443508011	-1.45258474461161	0.124069447547353	-0.822343724525073	-1.35030820116713	-0.817962999018487	-0.210589499382687	-0.0360266153091393	0.0111773688954773	-0.421703403926649	-1.19746476093469	-0.354873331343972	0.722126589927223	-0.368351706901774	0.415240877790029	0.163554636647077	-0.167943041070063	0.00010001544122451
K00133	0.922598625350909	0.0800332713888705	0.692533134302268	0.0576415014566551	-0.0995767216445002	1.18298981442735	0.461974417296592	-0.443638355641079	-0.484782594847103	-0.489137582047516	0.71359878208562	1.6517825158483	1.61059579058901	0.985112892303017	0.696003189643636	1.09718357912975	-0.657560797522692	0.141238470332067	0.00026476267938369
